,PAUL AV/W 205 ST,E 206 ST/ROCHAMBEAU AVE,RIVERDALE AV/W 254 ST,HENRY HUDSON PKY W/W 237 ST,BAINBRIDGE AV/E GUN HILL RD,BAILEY AV/VAN CORTLANDT PK S,RIVERDALE AV/W 261 ST,HENRY HUDSON PKY E/W 252 ST,W 231 ST/TIBBETT AV,E GUN HILL RD/DE KALB AV,JEROME AV/E 205 ST,HENRY HUDSON PKY E/W 227 ST,HENRY HUDSON PKY E/W 239 ST,RIVERDALE AV/W 263 ST,W 231 ST/RIVERDALE AV,HENRY HUDSON PKY W/W 236 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,W 231 ST/BROADWAY,BAINBRIDGE AV/RESERVOIR OVAL E,KAPPOCK ST/JOHNSON AV,E GUN HILL RD/BAINBRIDGE AV,BAILEY AV/W 238 ST,HENRY HUDSON PKY W/W 252 ST,W 231 ST/BAILEY AV,SEDGWICK AV/HILLMAN AV,RIVERDALE AV/W 260 ST,SEDGWICK AV/STEVENSON PL 2,BAILEY AV/W 233 ST,BEDFORD PK/JEROME AV,HENRY HUDSON PKY W/W 249 ST,HENRY HUDSON PKY W/W 246 ST,W 231 ST/KINGSBRIDGE AV,HENRY HUDSON PKY E/W 238 ST,HENRY HUDSON PKY E/W 250 ST,SEDGWICK AV/DICKINSON AV,E GUN HILL RD/DEKALB AV,IRWIN AV/JOHNSON AV,HENRY HUDSON PKY W/W 227 ST,JEROME AV/E MOSHOLU PY N,RIVERDALE AV/W 259 ST,HENRY HUDSON PKY E/W 235 ST,PAUL AV/W MOSHOLU PY S,E MOSHOLU PY N/VAN CORTLANDT AV E,BAINBRIDGE AV/E 210 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,RIVERDALE AV/W 256 ST,PAUL AV/BEDFORD PK BL,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,W 231 ST/CORLEAR AV,VAN CORTLANDT AV W/ORLOFF AV,HENRY HUDSON PKY W/W 239 ST,VAN CORTLANDT AV E/ROCHAMBEAU AV,HENRY HUDSON PKY E/W 232 ST,KAPPOCK ST/KNOLLS CRES,HENRY HUDSON PKY E/W 246 ST,HENRY HUDSON PKY W/W 232 ST,BAINBRIDGE AV/E 206 ST,West Farms Depot (WF)
PAUL AV/W 205 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541 RIVERDALE 263 ST,,,,,0.27 NORWOOD 205 ST STA,,,,,,,,,,,
E 206 ST/ROCHAMBEAU AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826 RIVERDALE 263 ST,,,,,,,,,,,,,,,
RIVERDALE AV/W 254 ST,,,,,,,,,,,,,,,,,,,,,,,0.305 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,
HENRY HUDSON PKY W/W 237 ST,,,,,,,,,,,,,,,,0.133 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 NORWOOD 205 ST STA,,,,,,,,,,,,,,
BAILEY AV/VAN CORTLANDT PK S,,,,,,,,,,,,,,,,,,,,,,0.291 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 NORWOOD 205 ST STA,,,,,,,,
RIVERDALE AV/W 261 ST,,,,,,,,,,,,,,0.248 RIVERDALE 263 ST,,,,,,,,,,,,0.17 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 252 ST,,,0.275 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,
JEROME AV/E 205 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.641 RIVERDALE 263 ST,,,,,,,,,,0.515 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423 RIVERDALE 263 ST,,,,,
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469 RIVERDALE 263 ST,,,
RIVERDALE AV/W 263 ST,,,,,,,0.438 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/RIVERDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 NORWOOD 205 ST STA,,,,,,,,,
HENRY HUDSON PKY W/W 236 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 NORWOOD 205 ST STA,,
BAINBRIDGE AV/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 NORWOOD 205 ST STA,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,0.285 NORWOOD 205 ST STA,,,,,,,,0.117 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/RESERVOIR OVAL E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833 RIVERDALE 263 ST,,,,,,,,,,,,,,
KAPPOCK ST/JOHNSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.528 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,0.228 RIVERDALE 263 ST,,,,
E GUN HILL RD/BAINBRIDGE AV,,,,,,,,,,0.246 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAILEY AV/W 238 ST,,,,,,0.291 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,0.562 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/BAILEY AV,,,,,,,,,,,,,,,,,,0.285 RIVERDALE 263 ST,,,,,,,,,,0.206 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/HILLMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 RIVERDALE 263 ST,,,,,,,,
RIVERDALE AV/W 260 ST,,,,,,,0.17 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,
