,E 161 ST/GERARD AV,OGDEN AV/W 165 ST,E 163 ST/ 3 AV,PLIMPTON AV/W 170 ST,WADSWORTH AV/W 181 ST,PLIMPTON AV/EDWARD L. GRANT HY,E 161 ST/PARK AV,W 181 ST/WADSWORTH AV,RIVER AV/E 149 ST,JEROME AV/W 161 ST,EDWARD L GRANT HY/UNIVERSITY AV,OGDEN AV/W 164 ST,OGDEN AV/W 166 ST,E 163 ST/3 AV,W 181 ST/AMSTERDAM AV,E 161 ST/SHERMAN AV,RIVER AV/E 151 ST,E 161 ST/MORRIS AV,OGDEN AV/UNIVERSITY AV,RIVER AV/E 150 ST,OGDEN AV/W 162 ST,E 161 ST/CONCOURSE VILLAGE E,W 179 ST/BROADWAY,OGDEN AV/W 167 ST,W 181 ST/ST NICHOLAS AV,OGDEN AV/W 168 ST,179 ST/BROADWAY,OGDEN AV/W 171 ST,E 161 ST/MELROSE AV,RIVER AV/E 157 ST,ELTON AV/E 161 ST,OGDEN AV/W 169 ST,JEROME AV/E 161 ST,E 161 ST/RIVER AV,W 169 ST/OGDEN AV,West Farms Depot (WF)
E 161 ST/GERARD AV,,,,,,,,,,,,,,,,0.943 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,
OGDEN AV/W 165 ST,,,,,,,,,,,,0.179 RIVER AV-149 ST,0.148 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,
E 163 ST/ 3 AV,,,,,,,,,,,,,,0.0 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,9.445 to depot of Bx13
PLIMPTON AV/W 170 ST,,,,,,0.165 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WADSWORTH AV/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,0.353 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,
PLIMPTON AV/EDWARD L. GRANT HY,,,,,,,,,,,0.45 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
E 161 ST/PARK AV,,,,,,,,,,,,,,,,,,0.169 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,0.249 RIVER AV-149 ST,,,,,,,
W 181 ST/WADSWORTH AV,,,,,,,,,,,,,,,,,,,,,,,,,0.388 RIVER AV-149 ST,,,,,,,,,,,
RIVER AV/E 149 ST,,,2.317 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W 161 ST,,,,,,,,,,,,,,,,,,,,,0.321 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,
