,W 125 ST/OLD BROADWAY,3 AV/CLAREMONT PKY,3 AV/E 184 ST,W 125 ST/ADAM C POWELL BL,3 AV/E FORDHAM RD,WILLIS AV/E 140 ST,E 128 ST/3 AV,ST CLAIRE PL/W 125 ST,LINCOLN AV/BRUCKNER BL,W 125 ST/MALCOLM X BL,W 125 ST/ST NICHOLAS AV,3 AV/CLAREMONT PY,3 AV/E 173 ST,3 AV/WASHINGTON AV,LINCOLN AV/E 136 ST,3 AV/E 175 ST,E 138 ST/3 AV,WILLIS AV/E 148 ST,3 AV/E 152 ST,3 AV/E 188 ST,E 138 ST/WILLIS AV,3 AV/E 161 ST,W 125 ST/MORNINGSIDE AV,W 125 ST/FRED DOUGLASS BL,E 125 ST/PARK AV,3 AV/E 156 ST,3 AV/E 168 ST,E 125 ST/LEXINGTON AV,WILLIS AV/E 138 ST,3 AV/E 174 ST,3 AV/E TREMONT AV,3 AV/E 183 ST,2 AV/E 126 ST,WILLIS AV/E 142 ST,3 AV/E 157 ST,3 AV/E 158 ST,3 AV/E 163 ST,3 AV/E 154 ST,3 AV/E 153 ST,3 AV/WESTCHESTER AV,E 125 ST/MADISON AV,3 AV/CROSS BRONX EXP,3 AV/E 169 ST,W 125 ST/ST CLAIRE PL,WILLIS AV/E 146 ST,W 125 ST/12 AV,3 AV/E 187 ST,W 125 ST/BROADWAY,E 125 ST/3 AV,3 AV/E 189 ST,E 138 ST/ALEXANDER AV,W 125 ST/MALCOLM X  BL,3 AV/E 166 ST,3 AV/E 180 ST,E 125 ST/2 AV,E 125 ST/5 AV,3 AV/E 172 ST,W 125 ST/AMSTERDAM AV,E 125 ST/1 AV,W 125 ST/5 AV,3 AV/ST PAULS PL,3 AV/E 150 ST,WILLIS AV/E 144 ST,West Farms Depot (WF)
W 125 ST/OLD BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,0.219 FORDHAM PLZ via 3 AV,,,,,,
3 AV/CLAREMONT PKY,,,,,,,,,,,,,0.382 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,
W 125 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,0.281 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 FORDHAM PLZ via 3 AV,,,,,,,,,,,,
3 AV/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,0.485 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 140 ST,,,,,,,,,,,,,,,,,,,,,0.172 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 128 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST CLAIRE PL/W 125 ST,0.268 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/BRUCKNER BL,,,,,,,0.639 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X BL,,,,0.308 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,0.136 WEST HARLEM 12 AV via 3 AV via 125 ST,0.139 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/CLAREMONT PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813 WEST HARLEM 12 AV via 3 AV via 125 ST,,,
3 AV/E 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/E 136 ST,,,,,,,,,0.22 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/3 AV,,,,,,,,,,,,,,,0.21 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89 WEST HARLEM 12 AV via 3 AV via 125 ST,
3 AV/E 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 188 ST,,,,,,,,,,,,,,0.064 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,
E 138 ST/WILLIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,
3 AV/E 161 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 WEST HARLEM 12 AV via 3 AV via 125 ST,0.164 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MORNINGSIDE AV,,,,,,,,,,,0.136 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,
W 125 ST/FRED DOUGLASS BL,,,,0.281 FORDHAM PLZ via 3 AV,,,,,,,0.139 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,0.168 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 FORDHAM PLZ via 3 AV,,,,,,,,,,0.703 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,
E 125 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.142 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,0.154 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,
WILLIS AV/E 138 ST,,,,,,0.164 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 174 ST,,,,,,,,,,,,,,,,0.26 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,0.515 FORDHAM PLZ via 3 AV,,,,,,,,,,
3 AV/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,
2 AV/E 126 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,
WILLIS AV/E 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,
3 AV/E 157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 158 ST,,,,,,,,,,,,,,,,,,,,,,0.247 FORDHAM PLZ via 3 AV,,,,0.202 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,0.164 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557 FORDHAM PLZ via 3 AV,,,,,,,,,,,
3 AV/E 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 WEST HARLEM 12 AV via 3 AV via 125 ST,,
3 AV/E 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,0.182 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
