,UNIVERSITY AV/W TREMONT AV,UNDERCLIFF AV/W 174 ST,MACOMBS RD/GRAND AV,W 170 ST/JEROME AV,UNIVERSITY AV/W 176 ST,UNIVERSITY AV/ W 176 ST,MACOMBS RD/NELSON AV,UNDERCLIFF AV/W 172 ST,MACOMBS RD/W 176 ST,MACOMBS RD/FEATHERBED LA,SEDGWICK AV/W 172 ST,E 170 ST/WALTON AV,E 170 ST/JEROME AV,SEDGWICK AV/W 176 ST,E 170 ST/GRAND CONCOURSE,SEDGWICK AV/W TREMONT AV,UNDERCLIFF AV/W 176 ST,W TREMONT AV/MONTGOMERY AV,UNDERCLIFF AV/SEDGWICK AV,UNDERCLIFF AV/BOSCOBEL PL,W TREMONT AV/UNIVERSITY AV,SEDGWICK AV/W 174 ST,MACOMBS RD/INWOOD AV,W TREMONT AV/LORING PL S,MACOMBS RD/GOBLE PL,SEDGWICK AV/HARLEM RIVER BRIDGE,INWOOD AV/MACOMBS RD,West Farms Depot (WF)
UNIVERSITY AV/W TREMONT AV,,,,,,0.694 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,
UNDERCLIFF AV/W 174 ST,,,,,,,,0.301 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,,
MACOMBS RD/GRAND AV,,,,,,,,,0.308 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,
W 170 ST/JEROME AV,,,,,,,,,,,,0.165 170 ST CONCOURSE,,,,,,,,,,,,,,,,
UNIVERSITY AV/W 176 ST,,,,,,,0.411 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/ W 176 ST,,,,,0.0 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,
MACOMBS RD/NELSON AV,,,,,,,,,,0.316 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,
UNDERCLIFF AV/W 172 ST,,,,,,,,,,,,,,,,,,,,0.081 RIVER PARK TOWERS,,,,,,,,
MACOMBS RD/W 176 ST,,,,,,,,,,,,,,,,,,,,,0.212 RIVER PARK TOWERS,,,,,,,
MACOMBS RD/FEATHERBED LA,,,,,,,,,,,,,,,,,,,,,,,,,0.211 170 ST CONCOURSE,,,5.36 to depot of Bx18
SEDGWICK AV/W 172 ST,,,,,,,,,,,,,,,,,,,,,,0.231 RIVER PARK TOWERS,,,,,,
E 170 ST/WALTON AV,,,,,,,,,,,,,0.165 RIVER PARK TOWERS,,0.801 170 ST CONCOURSE,,,,,,,,,,,,,
E 170 ST/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 RIVER PARK TOWERS,
SEDGWICK AV/W 176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 RIVER PARK TOWERS,,
E 170 ST/GRAND CONCOURSE,,,,,,,,,,,,0.242 RIVER PARK TOWERS,,,0.0 170 ST CONCOURSE,,,,,,,,,,,,,
SEDGWICK AV/W TREMONT AV,,,,,,,,,,,,,,,,,,0.231 170 ST CONCOURSE,1.435 RIVER PARK TOWERS,,,,,,,,,
UNDERCLIFF AV/W 176 ST,,0.288 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/MONTGOMERY AV,0.883 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERCLIFF AV/SEDGWICK AV,,,,,,,,,,,0.455 RIVER PARK TOWERS,,,,,,1.762 RIVER PARK TOWERS,,,,,,,,,,,
UNDERCLIFF AV/BOSCOBEL PL,,,,,,,,,,,,,,,,,,,0.332 RIVER PARK TOWERS,,,,,,,,,
W TREMONT AV/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,,,,,0.181 RIVER PARK TOWERS,,,,
SEDGWICK AV/W 174 ST,,,,,,,,,,,,,,0.444 RIVER PARK TOWERS,,,,,,,,,,,,,,
MACOMBS RD/INWOOD AV,,,,0.203 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,
W TREMONT AV/LORING PL S,,,,,,,,,,,,,,,,0.26 RIVER PARK TOWERS,,,,,,,,,,,,
MACOMBS RD/GOBLE PL,,,0.272 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,,0.265 170 ST CONCOURSE,,,,,
SEDGWICK AV/HARLEM RIVER BRIDGE,,,,,,,,,,,,,,,,0.201 170 ST CONCOURSE,,,,,,,,,,,,
INWOOD AV/MACOMBS RD,,,,,,,,,,,,,,,,,,,,,,,,,0.265 RIVER PARK TOWERS,,,
West Farms Depot (WF),,,,,,,,,,3.715 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,
