,GRAND CONCOURSE/E 174 ST,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 198 ST,SEDGWICK AV/DICKINSON AV,SEDGWICK AV/STEVENSON PL,HEATH AV/SUMMIT PL,GRAND CONCOURSE/E KINGSBRIDGE RD,SEDGWICK AV/GILES PL,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 144 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,SEDGWICK AV/STEVENSON PL 1,SEDGWICK AV/FT INDEPENDENCE ST,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 161 ST,W 231 ST/CORLEAR AV,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E MOSHOLU PY S,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E 138 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 153 ST,W 231 ST/BROADWAY,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E 167 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 203 ST,E MOSHOLU PY S/JEROME AV,W 231 ST/KINGSBRIDGE AV,W MOSHOLU PY S/PAUL AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 206 ST,LINCOLN AV/E 137 ST,W 231 ST/TIBBETT AV,HEATH AV/ALBANY CRES,E 136 ST/LINCOLN AV,GRAND CONCOURSE/MT EDEN AV,3 AV/E 138 ST,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/BEDFORD PK BL,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,SEDGWICK AV/HILLMAN AV,West Farms Depot (WF)
GRAND CONCOURSE/E 174 ST,,,,,,,,,,,,,,0.179 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 179 ST,,,,,,,,,,,,,,,,,,,,,,0.627 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 RIVERDALE 231 ST via CONCOURSE,,,,,,,,
GRAND CONCOURSE/E 172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.022 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,0.292 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,
GRAND CONCOURSE/E 198 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 RIVERDALE 231 ST via CONCOURSE,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,0.252 RIVERDALE 231 ST via CONCOURSE,
SEDGWICK AV/STEVENSON PL,,,,,,,,,0.282 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATH AV/SUMMIT PL,,,,,,,,,,,,,,,,,,,,0.319 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779 RIVERDALE 231 ST via CONCOURSE,,
GRAND CONCOURSE/E KINGSBRIDGE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 RIVERDALE 231 ST via CONCOURSE,,,,,,,
SEDGWICK AV/GILES PL,,,,,,,,,,,,,,,,,,,0.319 MOTT HAVEN 138 ST via CONCOURSE,0.317 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/VAN CORTLANDT AV E,,,,,,,,,,,,0.38 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
