,BROADWAY/ISHAM ST-W 211 ST,HENRY HUDSON PKY E/W 232 ST,W 231 ST/TIBBETT AV,W 231 ST/CORLEAR AV,HENRY HUDSON PKY W/W 232 ST,HENRY HUDSON PKY W/W 227 ST,BROADWAY/W 215 ST,HENRY HUDSON PKY E/W 239 ST,HENRY HUDSON PKY W/W 237 ST,BROADWAY/W 207 ST,HENRY HUDSON PKY E/W 235 ST,HENRY HUDSON PKY W/W 246 ST,W 230 ST/BROADWAY,W 231 ST/RIVERDALE AV,BROADWAY/ISHAM ST,HENRY HUDSON PKY W/W 239 ST,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,HENRY HUDSON PKY W/INDEPENDENCE AV,BROADWAY/EXTERIOR ST,IRWIN AV/JOHNSON AV,HENRY HUDSON PKY W/W 236 ST,W 231 ST/BROADWAY,KAPPOCK ST/KNOLLS CRES,BROADWAY/W 220 ST,HENRY HUDSON PKY E/W 227 ST,BROADWAY/W 213 ST,KINGSBRIDGE AV/W 230 ST,BROADWAY/W 228 ST,W 231 ST/KINGSBRIDGE AV,HENRY HUDSON PKY E/W 238 ST,BROADWAY/W 218 ST,KAPPOCK ST/JOHNSON AV,HENRY HUDSON PKY E/W 246 ST,BROADWAY/W 225 ST,West Farms Depot (WF)
BROADWAY/ISHAM ST-W 211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 RIVERDALE 246 ST,,,,,,,,,
HENRY HUDSON PKY E/W 232 ST,,,,,,,,,,,0.249 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,0.441 RIVERDALE 246 ST,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 INWOOD 207 ST,,,,,,,,
HENRY HUDSON PKY W/W 232 ST,,,,,,,,,,,,,,,,,0.28 INWOOD 207 ST,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 227 ST,,,,,,,,,,,,,,,,,,0.195 INWOOD 207 ST,,,,,,,,,,,,,,,,,
BROADWAY/W 215 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.104 INWOOD 207 ST,,,,,0.701 RIVERDALE 246 ST,,,,
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469 RIVERDALE 246 ST,,
HENRY HUDSON PKY W/W 237 ST,,,,,,,,,,,,,,,,,,,,,0.133 INWOOD 207 ST,,,,,,,,,,,,,,
BROADWAY/W 207 ST,0.187 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83 to depot of Bx20
HENRY HUDSON PKY E/W 235 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 RIVERDALE 246 ST,,,,,
HENRY HUDSON PKY W/W 246 ST,,,,,,,,,,,,,,,,0.461 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,
W 230 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 INWOOD 207 ST,,,,,,,
W 231 ST/RIVERDALE AV,,,,0.183 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST,,,,,,,,,,0.168 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 239 ST,,,,,,,,,0.287 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY/2735 HENRY HUDSON PKY,,,,,,0.13 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/INDEPENDENCE AV,,,,,,,,,,,,,,,,,,,,,,,0.345 INWOOD 207 ST,,,,,,,,,,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,,,,,,,,,0.37 RIVERDALE 246 ST,,,,,,,,,,,,,
IRWIN AV/JOHNSON AV,,,,,,,,,,,,,,0.608 INWOOD 207 ST,,,,,,,,,,,,,,,,,,0.528 RIVERDALE 246 ST,,,
HENRY HUDSON PKY W/W 236 ST,,,,,0.352 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 RIVERDALE 246 ST,,,,,,
KAPPOCK ST/KNOLLS CRES,,,,,,,,,,,,,,,,,,,,,,,,,0.308 RIVERDALE 246 ST,,,,,,,0.228 INWOOD 207 ST,,,
BROADWAY/W 220 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 INWOOD 207 ST,,,1.016 RIVERDALE 246 ST,
