,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 196 ST,E MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 163 ST,SEDGWICK AV/DICKINSON AV,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E 198 ST,3 AV/E 144 ST,GRAND CONCOURSE/E 182 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 181 ST,3 AV/E 140 ST,W 231 ST/TIBBETT AV,SEDGWICK AV/STEVENSON PL,GRAND CONCOURSE/BEDFORD PK BL,W 231 ST/KINGSBRIDGE AV,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 180 ST,E 136 ST/LINCOLN AV,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 179 ST,HEATH AV/SUMMIT PL,SEDGWICK AV/VAN CORTLANDT AV W,3 AV/E 142 ST,GRAND CONCOURSE/MT EDEN AV,HEATH AV/ALBANY CRES,GRAND CONCOURSE/E MOSHOLU PY S,E 149 ST/MELROSE AV,E 149 ST/MORRIS AV,W MOSHOLU PY S/PAUL AV,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 174 ST,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/GILES PL,E 149 ST/GRAND CONCOURSE,W 231 ST/BROADWAY,SEDGWICK AV/STEVENSON PL 1,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E MT EDEN AV,E 149 ST/COURTLANDT AV,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E FORDHAM RD,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 175 ST,SEDGWICK AV/HILLMAN AV,W 231 ST/CORLEAR AV,3 AV/E 138 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 204 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 170 ST,West Farms Depot (WF)
GRAND CONCOURSE/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,,0.529 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,1.026 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 167 ST,,,,,,,,0.34 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,
GRAND CONCOURSE/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 196 ST,,,,,,,,,,,,0.321 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863 MOTT HAVEN 138 ST via CONCOURSE,,,,
E MOSHOLU PY S/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.903 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,0.645 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/DICKINSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,0.252 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,
GRAND CONCOURSE/E 169 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,
ALBANY CR/BAILEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,
GRAND CONCOURSE/E 158 ST,0.237 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.285 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,2.117 MOTT HAVEN 138 ST via CONCOURSE,,
