,BROADWAY/179 ST,UNIVERSITY AV/WASHINGTON BRIDGE,BROADWAY/W 179 ST,UNIVERSITY AV/MORTON PL,UNIVERSITY AV/W TREMONT AV,SEDGWICK AV/W 231 ST,UNIVERSITY AV/W 183 ST,W 238 ST/BROADWAY,W KINGSBRIDGE RD/SEDGWICK AV,WADSWORTH AV/W 181 ST,SEDGWICK AV/W 229 ST,UNIVERSITY AV/N OF WASHINGTON BDG,UNIVERSITY AV/W 192 ST,UNIVERSITY AV/W BURNSIDE AV,FT INDEPENDENCE ST/HEATH AV,SEDGWICK AV/FT INDEPENDENCE ST,UNIVERSITY AV/W 181 ST,UNIVERSITY AV/HALL OF FAME TE,UNIVERSITY AV/W 174 ST,FT INDEPENDENCE/GILES PL,UNIVERSITY AV/W BURNSIDE AV #1,SEDGWICK AV/W 195 ST,W 238 ST/BAILEY AV,FT INDEPENDENCE ST/BAILEY PL,W 181 ST/AMSTERDAM AV,UNIVERSITY AV/W 179 ST,W 181 ST/WADSWORTH AV,W 238 ST/ORLOFF AV,W 181 ST/ST NICHOLAS AV,UNIVERSITY AV/W 176 ST,UNIVERSITY AV/W FORDHAM RD,UNIVERSITY AV/W 190 ST,SEDGWICK AV/W 197 ST,W KINGSBRIDGE RD/UNIVERSITY AV,West Farms Depot (WF)
BROADWAY/179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 RIVERDALE BWAY-238 ST,,,,,,,,
UNIVERSITY AV/WASHINGTON BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,0.82 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,
BROADWAY/W 179 ST,0.309 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/MORTON PL,,,,,0.777 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,0.89 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,
UNIVERSITY AV/W TREMONT AV,,,,0.317 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.694 WASHINGTON HEIGHTS G W BRIDGE,,,,,5.611 to depot of Bx3
SEDGWICK AV/W 231 ST,,,,,,,,,,,0.241 WASHINGTON HEIGHTS G W BRIDGE,,,,,0.374 RIVERDALE BWAY-238 ST,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/W 183 ST,,,,,,,0.0 RIVERDALE BWAY-238 ST,,,,,,,,,,,0.321 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,0.366 RIVERDALE BWAY-238 ST,,,,
W 238 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.217 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,
W KINGSBRIDGE RD/SEDGWICK AV,,,,,,,,,,,,,,,,,,,,,,0.153 RIVERDALE BWAY-238 ST,,,,,,,,,,,,0.277 WASHINGTON HEIGHTS G W BRIDGE,
WADSWORTH AV/W 181 ST,,,0.237 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
