,BROADWAY/W 196 ST,BROADWAY/W 215 ST,BROADWAY/W 220 ST,KINGSBRIDGE AV/W 230 ST,BROADWAY/W 228 ST,RIVERDALE AV/W 236 ST,BROADWAY/W 192 ST,RIVERDALE AV/W 261 ST,HENRY HUDSON PKY W/W 252 ST,BROADWAY/W 174 ST,BROADWAY/W 170 ST,BROADWAY/FAIRVIEW AV,BROADWAY/W 218 ST,W 231 ST/CORLEAR AV,HENRY HUDSON PKY E/W 252 ST,RIVERDALE AV/GREYSTONE AV,BROADWAY/W 181 ST,RIVERDALE AV/W 238 ST,BROADWAY/ISHAM ST,BROADWAY/BENNETT AV,HENRY HUDSON PKY W/W 246 ST,RIVERDALE AV/W 260 ST,BROADWAY/W 193 ST,W 231 ST/RIVERDALE AV,BROADWAY/W 204 ST,RIVERDALE AV/W 263 ST,BROADWAY/W 173 ST,HENRY HUDSON PKY W/W 249 ST,W 230 ST/BROADWAY,W 239 ST/RIVERDALE AV,BROADWAY/W 207 ST,HENRY HUDSON PKY E/W 246 ST,HENRY HUDSON PKY E/W 250 ST,BROADWAY/RIVERSIDE DR,BROADWAY/W 189 ST,BROADWAY/DONGAN PL,RIVERDALE AV/W 256 ST,W 231 ST/TIBBETT AV,BROADWAY/W 171 ST,BROADWAY/W 187 ST,BROADWAY/ACADEMY ST,BROADWAY/ISHAM ST-W 211 ST,BROADWAY/W 213 ST,RIVERDALE AV/W 254 ST,BROADWAY/EXTERIOR ST,BROADWAY/ARDEN ST,W 231 ST/BROADWAY,BROADWAY/W 190 ST,BROADWAY/W 168 ST,BROADWAY/W 178 ST,BROADWAY/W 185 ST,BROADWAY/SHERMAN AV,RIVERDALE AV/W 259 ST,BROADWAY/W 176 ST,ST NICHOLAS AV/W 167 ST,BROADWAY/DYCKMAN ST,BROADWAY/W 183 ST,HENRY HUDSON PKY E/W 239 ST,W 231 ST/KINGSBRIDGE AV,BROADWAY/W 175 ST,BROADWAY/W 225 ST,BROADWAY/W 172 ST,West Farms Depot (WF)
BROADWAY/W 196 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 RIVERDALE 263 ST,,,,,,,,,,,
BROADWAY/W 215 ST,,,,,,,,,,,,,0.701 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 220 ST,,,,,,,,,,,,,0.205 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016 RIVERDALE 263 ST,,
KINGSBRIDGE AV/W 230 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 228 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.447 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.236 WASHINGTON HEIGHTS 168 ST via BROADWAY,,
RIVERDALE AV/W 236 ST,,,,,,,,,,,,,,,,,,0.195 RIVERDALE 263 ST,,,,,,0.588 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,
RIVERDALE AV/W 261 ST,,,,,,,,,,,,,,,,,,,,,,0.17 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,0.248 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 WASHINGTON HEIGHTS 168 ST via BROADWAY,
BROADWAY/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,
BROADWAY/FAIRVIEW AV,,,,,,,,,,,,,,,,,,,,,,,0.22 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 218 ST,,0.185 WASHINGTON HEIGHTS 168 ST via BROADWAY,1.48 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,0.302 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 252 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/GREYSTONE AV,,,,,,0.195 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,0.173 RIVERDALE 263 ST,,,,,,10.83 to depot of Bx7
RIVERDALE AV/W 238 ST,,,,,,0.195 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 RIVERDALE 263 ST,,,,,
BROADWAY/ISHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BENNETT AV,,,,,,,0.196 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 260 ST,,,,,,,,0.17 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,
BROADWAY/W 193 ST,0.277 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/RIVERDALE AV,,,,,,,,,,,,,,0.183 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 WASHINGTON HEIGHTS 168 ST via BROADWAY,0.311 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 263 ST,,,,,,,,0.438 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 RIVERDALE 263 ST,,,
HENRY HUDSON PKY W/W 249 ST,,,,,,,,,,,,,,,,,,,,,0.423 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 230 ST/BROADWAY,,,,,0.229 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 239 ST/RIVERDALE AV,,,,,,,,,,,,,,,,,,0.094 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.124 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 250 ST,,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 189 ST,,,,,,,,,,,,0.194 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DONGAN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,
RIVERDALE AV/W 256 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,0.317 RIVERDALE 263 ST,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,0.489 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 RIVERDALE 263 ST,,,,,,,,,,,,,,,,0.173 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,
BROADWAY/ACADEMY ST,,,,,,,,,,,,,,,,,,,,,,,,,0.193 RIVERDALE 263 ST,,,,,,,,,0.29 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST-W 211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 213 ST,,0.104 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,0.249 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 254 ST,,,,,,,,,0.305 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37 RIVERDALE 263 ST,,,,,,,,,,,,,,,,
BROADWAY/ARDEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 RIVERDALE 263 ST,,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 RIVERDALE 263 ST,,,,
BROADWAY/W 190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,
BROADWAY/W 178 ST,,,,,,,,,,,,,,,,,0.382 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,
BROADWAY/W 185 ST,,,,,,,,,,,,,,,,,0.325 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.173 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/SHERMAN AV,,,,,,,,,,,,,,,,,,,,0.332 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,
RIVERDALE AV/W 259 ST,,,,,,,,,,,,,,,,,,,,,,0.214 RIVERDALE 263 ST,,,,,,,,,,,,,,,0.317 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 176 ST,,,,,,,,,,0.169 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/DYCKMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 RIVERDALE 263 ST,,,,,,,,,,,,
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/KINGSBRIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 RIVERDALE 263 ST,,,,,,,,,,,,,
BROADWAY/W 225 ST,,,0.445 WASHINGTON HEIGHTS 168 ST via BROADWAY,,0.81 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 172 ST,,,,,,,,,,,0.16 WASHINGTON HEIGHTS 168 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,5.314 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
