,BROADWAY/TIM HENDRICK PL,BROADWAY/W 251 ST,SOUTHERN BL/E 182 ST,SOUTHERN BL/BRONX PK S,W 225 ST/BROADWAY,BROADWAY/EXTERIOR ST,BROADWAY/MOSHOLU AV,W KINGSBRIDGE RD/SEDGWICK AV,SOUTHERN BL/E 183 ST,SOUTHERN BL/E FORDHAM RD,E FORDHAM RD/DECATUR AV,SOUTHERN BL/E 187 ST,BROADWAY/W 238 ST,E FORDHAM RD/HOFFMAN ST,W KINGSBRIDGE RD/BAILEY AV,E KINGSBRIDGE RD/E 192 ST,BROADWAY/W 231 ST,BROADWAY/W 262 ST,BROADWAY/W 242 ST,E 180 ST/DALY AV,E FORDHAM RD/BATHGATE AV,SOUTHERN BL/E 189 ST,W KINGSBRIDGE RD/JEROME AV,W KINGSBRIDGE RD/MORRIS AV,BROADWAY/VAN CORTLANDT PK S,BROADWAY/LAKE VIEW PL,E FORDHAM RD/CAMBRELENG AV,W KINGSBRIDGE RD/HEATH AV,BROADWAY/W 240 ST,BROADWAY/KIMBERLY PL,E FORDHAM RD/3 AV,E KINGSBRIDGE RD/E FORDHAM RD,E KINGSBRIDGE RD/GRAND CONCOURSE,BROADWAY/W 254 ST,E FORDHAM RD/CAMBERLENG AV,BROADWAY/W 260 ST,DEVOE AV/LEBANON ST,E 180 ST/CROTONA PY,E 180 ST/BOSTON RD,W KINGSBRIDGE RD/KINGSBRIDGE TER,BROADWAY/W 236 ST,E KINGSBRIDGE RD/E192 ST,E 180 ST/MOHEGAN AV,BROADWAY/W 246 ST,BOSTON RD/E 180 ST,BOSTON RD/E 178 ST,W KINGSBRIDGE RD/UNIVERSITY AV,BROADWAY/W 228 ST,E TREMONT AV/E 177 ST,BROADWAY/W 234 ST,West Farms Depot (WF)
BROADWAY/TIM HENDRICK PL,,,,,,,,,,,,,0.227 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 251 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,0.418 WEST FARMS,,,,,,,
SOUTHERN BL/E 182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378 WEST FARMS,,,,,,,,
SOUTHERN BL/BRONX PK S,,,,,,,,,3.155 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 225 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429 WEST FARMS,,,,,,,,,,,,,,,,,,,,0.81 RIVERDALE 262 ST,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,,,,0.321 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MOSHOLU AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 WEST FARMS,,0.321 RIVERDALE 262 ST,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/SEDGWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 RIVERDALE 262 ST,,,,,,,0.277 WEST FARMS,,,,
SOUTHERN BL/E 183 ST,,,0.315 WEST FARMS,,,,,,,,,0.244 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E FORDHAM RD,,,,,,,,,,,,0.414 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/DECATUR AV,,,,,,,,,,,,,,,,0.326 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 187 ST,,,,,,,,,0.244 WEST FARMS,,,,,,,,,,,,,0.367 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 238 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.167 RIVERDALE 262 ST,,,,,,,,,,,,,,,,0.198 WEST FARMS,,,,,,,,,,
E FORDHAM RD/HOFFMAN ST,,,,,,,,,,,,,,,,,,,,,0.442 RIVERDALE 262 ST,,,,,,0.303 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/BAILEY AV,,,,,0.327 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,
BROADWAY/W 231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 WEST FARMS,,,,,,,,,,,,,,,,,,,,1.737 RIVERDALE 262 ST,
BROADWAY/W 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 WEST FARMS,,,,,,,,,,,,,,,
BROADWAY/W 242 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577 WEST FARMS,,,,,,,,,,,,,,,0.287 RIVERDALE 262 ST,,,,,,,
E 180 ST/DALY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 RIVERDALE 262 ST,,,,,,,0.368 WEST FARMS,,,,,,
E FORDHAM RD/BATHGATE AV,,,,,,,,,,,,,,0.146 WEST FARMS,,,,,,,,,,,,,,,,,0.31 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11 RIVERDALE 262 ST,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 WEST FARMS,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343 RIVERDALE 262 ST,,,,
BROADWAY/VAN CORTLANDT PK S,,,,,,,,,,,,,,,,,,,0.389 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LAKE VIEW PL,,0.317 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.882 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBRELENG AV,,,,,,,,,,0.19 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/HEATH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265 WEST FARMS,,,,,,,,,,,
BROADWAY/W 240 ST,,,,,,,,,,,,,0.173 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/KIMBERLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 WEST FARMS,,,
E FORDHAM RD/3 AV,,,,,,,,,,,0.22 RIVERDALE 262 ST,,,,,,,,,,0.3 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662 WEST FARMS,,,,,,,,,,,,,,,,,,,,
E KINGSBRIDGE RD/GRAND CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,0.755 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,0.26 WEST FARMS,,,,,,,,,
BROADWAY/W 254 ST,,,,,,,0.576 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,0.292 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBERLENG AV,,,,,,,,,,,,,,0.804 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 260 ST,,,,,,,0.321 WEST FARMS,,,,,,,,,,,0.302 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEVOE AV/LEBANON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 RIVERDALE 262 ST,,,,,,,,,,,,
E 180 ST/CROTONA PY,,,,3.423 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 180 ST/BOSTON RD,,,,,,,,,,,,,,,,,,,,0.358 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W KINGSBRIDGE RD/KINGSBRIDGE TER,,,,,,,,1.376 WEST FARMS,,,,,,,0.364 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 236 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117 WEST FARMS,
E KINGSBRIDGE RD/E192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WEST FARMS,,,,,,,,,,,,,,,,,,,
E 180 ST/MOHEGAN AV,,,,,,,,,,,,,,,,,,,,0.597 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 246 ST,,0.418 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,0.405 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 WEST FARMS,,,,,
BOSTON RD/E 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 RIVERDALE 262 ST,,
W KINGSBRIDGE RD/UNIVERSITY AV,,,,,,,,0.282 RIVERDALE 262 ST,,,,,,,,,,,,,,,0.323 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 228 ST,,,,,0.236 WEST FARMS,1.447 RIVERDALE 262 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 RIVERDALE 262 ST,,,,,,,,,,,,,,10.968 to depot of Bx9
BROADWAY/W 234 ST,0.211 RIVERDALE 262 ST,,,,,,,,,,,,,,,,0.34 WEST FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 RIVERDALE 262 ST,,
