,ANNADALE RD/NORTH PINE TER,ARTHUR KILL RD/ANNADALE RD,LUTEN AV/HYLAN BL,ELTINGVILLE/TRANSIT CENTER,LUTEN AV/DEISIUS ST,SEGUINE AV/JOHANNA LA,ANNADALE RD/HILLIS ST,MARSH AV/WINDHAM LOOP,ANNADALE RD/SOUTH RAILROAD ST,ANNADALE RD/GRANTWOOD AV,BLOOMINGDALE RD/SHARROTTS RD,LUTEN AV/EYLANDT ST,AMBOY RD/HUGUENOT AV,ANNADALE RD/DORVAL PL,BLOOMINGDALE RD/CLAY PIT RD,RICHMOND AV/YUKON AV,PLATINUM AV/TOYS R US,MARSH AV/ELMWOOD PK DR,RICHMOND AV/FOREST HILL RD,HYLAN BL/SEGUINE AV,AMBOY RD/RUGGLES ST,ARTHUR KILL RD/CROSSFIELD AV,ANNADALE RD/DRUMGOOLE RD E,ANNADALE RD/RYE AV,ANNADALE RD/TOKEN ST,SEGUINE AV/DIRENZO CT,ANNADALE RD/DRUMGOOLE RD W,BLOOMINGDALE RD/OPP KRAMER AV,AMBOY RD/KINGDOM AV,AMBOY RD/PERTERSONS LN,AMBOY RD/BAYVIEW AV,ANNADALE RD/NOTUS AV,BLOOMINGDALE RD/VETERANS RD E,BLOOMINGDALE RD/ALYSIA CT,SEGUINE AV/KNOX ST,ANNADALE RD/ARDEN AV,AMBOY RD/BLOOMINGDALE RD,BLOOMINGDALE RD/ENGLEWOOD AV,BLOOMINGDALE RD/CORRELL AV,HYLAN BL/LUTEN AV,BLOOMINGDALE RD/SOUTH SERVICE RD,PLATINUM AV/SEARS,ANNADLE RD/TYNAN ST,BLOOMINGDALE RD/OPP SHIEL AV,BLOOMINGDALE RD/PEMBROOK LOOP,ANNADALE RD/AMBOY RD,HYLAN BL/CORNELIA AV,BLOOMINGDALE RD/MARVIN RD,RICHMOND AV/PLATINUM AV,BLOOMINGDALE RD/AMBOY RD,AMBOY RD/ALVINE AV,AMBOY RD/PETERSONS LN,AMBOY RD/ARBUTUS AV,MARSH AV/RING RD,SEGUINE AV/WATERBURY AV,ANNADALE RD/CROSSFIELD AV,BLOOMINGDALE RD/KRAMER AV,ANNADALE RD/GENESEE AV,Yukon Depot (YU)
ANNADALE RD/NORTH PINE TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,
ARTHUR KILL RD/ANNADALE RD,,,,,,,,,,,,,,,,,,,,,,0.205 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTEN AV/HYLAN BL,,,,,,,,,,,,0.486 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,2.256 S I MALL,,,1.035 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUTEN AV/DEISIUS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/JOHANNA LA,,,,,,,,,,,,,,,,,,,,,,,,,,0.636 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/HILLIS ST,,,,,,,,,0.151 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSH AV/WINDHAM LOOP,,,,,,,,,,,,,,,,,,0.372 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,0.836 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,
ANNADALE RD/SOUTH RAILROAD ST,0.238 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524 S I MALL,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/GRANTWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/SHARROTTS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 S I MALL,,,,,,,,,,,,,,
