,ARDEN AV/WOODROW RD,ARTHUR KILL RD/1547 ARTHUR KILL RD,WOODROW RD/VINELAND AV,HYLAN BL/SEGUINE AV,ARTHUR KILL RD/WOODROW RD,ARTHUR KILL RD/LADD AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,PLATINUM AV/SEARS,ARDEN AV/ARTHUR KILL RD,WOODROW RD/ALMOND ST,ARDEN AV/DOVER GREEN,WOODROW RD/CANTON AV,WOODROW RD/DELMAR AV,FOSTER RD/ALBOURNE AV,EYLENDT ST/ LUTEN AV,PLATINUM AV/TOYS R US,FOSTER RD/RATBURN AV,MARSH AV/ELMWOOD PK DR,LUTEN AV/EYLANDT ST,ARTHUR KILL RD/ARDEN HGHTS SHOP,ELTINGVILLE/TRANSIT CENTER,SEGUINE AV/WATERBURY AV,SEGUINE AV/SINGLETON ST,HYLAN BL/LUTEN AV,ARDEN AV/FOREST GREEN,ARDEN AV/CORRELL AV,SEGUINE AV/KNOX ST,FOSTER RD/AMBOY RD,FOSTER RD/DARLINGTON AV,FOSTER RD/WHEELING AV,ARTHUR KILL RD/OPP ASPEN KNOLLS,SEGUINE AV/DIRENZO CT,RICHMOND AV/PLATINUM AV,ARTHUR KILL RD/ANNADALE RD,SEGUINE AV/JOHANNA LA,ARDEN AV/ROLLING HILL GREEN,ARTHUR KILL RD/ARDEN AV,ARDEN AV/HAMPTON GREEN,FOSTER RD/SINCLAIR AV,WOODROW RD/DESEREE AV,RICHMOND AV/FOREST HILL RD,FOSTER RD/WOODROW RD,HYLAN BL/CORNELIA AV,MARSH AV/RING RD,ARTHUR KILL RD/CROSSFIELD AV,FOSTER RD/RAMONA AV,SEGUINE AV/OSWALD PL,FOSTER RD/DRUMGOOLE RD W,FOSTER RD/DRUMGOOLE RD E,WOODROW RD/ALVERSON AV,MARSH AV/WINDHAM LOOP,RICHMOND AV/YUKON AV,WOODROW RD/FOSTER RD,ARTHUR KILL RD/ST JOHN NEWMANN,ARTHUR KILL RD/1297 ARTHUR KILL RD,WOODROW RD/HOLCOMB AV,WOODROW RD/BOULDER ST,WOODROW RD/ELLSWORTH AV,Yukon Depot (YU)
ARDEN AV/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.389 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,,,,,,0.663 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/VINELAND AV,,,,,,,,,,,,,0.414 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 S I MALL,,,,,,,,,,,1.856 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WOODROW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 S I MALL,,,,,,,,,,,,,,,,,,,,,0.215 HUGUENOT LUTEN AV,,,,
ARTHUR KILL RD/LADD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 HUGUENOT LUTEN AV,,,,,,,,,,,,,,
ARTHUR KILL RD/1666 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,0.306 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATINUM AV/SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/ARTHUR KILL RD,,,,,,,,,,,0.165 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODROW RD/ALMOND ST,,,,,,,,,,,,0.25 HUGUENOT LUTEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEN AV/DOVER GREEN,,,,,,,,,,,,,,,,,,,,,,,,,0.245 HUGUENOT LUTEN AV,,,,,,,,,,,,0.165 S I MALL,,,,,,,,,,,,,,,,,,,,,,
